text,comment_category,final_subjectivity_label,aspect_input,pipeline,roberta_sentiment,roberta_confidence,deberta_base_sentiment,deberta_base_confidence,deberta_base_finetuned_sentiment,deberta_base_finetuned_confidence,deberta_large_sentiment,deberta_large_confidence,deberta_models_agree,final_base_sentiment,final_base_confidence,final_finetuned_sentiment,final_finetuned_confidence,final_large_sentiment,final_large_confidence
"Bro I’ve been using the OnePlus 9 Pro every day and I love this phone so much — it still works great and I haven’t had any problems, only the battery life is not good anymore. Now I want to upgrade and I like both the iPhone 17 and the Galaxy S26, but I can’t decide which one to buy. I watch Youtube and sometimes i play games i dont take pictures or zoom. I just want a fast phone. I think Iphone 17 is for me I dont like Exynos CPU is so bad compared to snapdragon",overall,Subjective,overall,overall,positive,0.9104,N/A,,N/A,,N/A,,,positive,0.9104,positive,0.9104,positive,0.9104
"Samsungs are just iphone clones with Samsung software now days, still on s10 plus because nothing good has come out to really make me want to upgrade, they got worse with no sd card slot!, no headphone jack (more manageable but still annoying), the flat screen ok I can live with but now shaped like bricks with rounded corners mehh, for a while downgraded from 1440 screens to 1080 lame! Finally have 1440 other than s26 base, I miss nice devices, I may upgrade just because my phone is so old but in some ways I feel like I'm downgradong especcialy in the feel in the hand category",overall,Subjective,overall,overall,negative,0.8295,N/A,,N/A,,N/A,,,negative,0.8295,negative,0.8295,negative,0.8295
"I was going to buy a phone and was waiting for a comparison between the s26 and I phone 17. As a galaxy user since the S3 got released, I think I will switch to I phone. The camera is overall better, I dont know how Samsung cannot catch up for so long. The only thing I wish I phone had was a better zoom but anyways, the I phone 17 is still worth the price this year according to me.",overall,Subjective,overall,overall,positive,0.7755,N/A,,N/A,,N/A,,,positive,0.7755,positive,0.7755,positive,0.7755
"Samsung has once again, for the 4th year in a row, left the baseline S26 and S26+ with the same camera hardware, no clear info on whether USB‑C 3.2 is supported, and only tiny battery upgrades. Yet the prices keep going up, for what, exactly? Even the S26 Ultra barely changed this year. At this point, I’m skipping Samsung phones for the fourth year straight. Brands like Oppo, Vivo, and Xiaomi are offering far better camera systems, performance, and design for the money.",overall,Subjective,overall,overall,negative,0.7383,N/A,,N/A,,N/A,,,negative,0.7383,negative,0.7383,negative,0.7383
"The S26 is a massive downgrade from the S25. It has become slightly bigger and heavier—an unnecessary change for what was a perfectly sized compact phone. Combined with those sharper edges, the ergonomics are jarring, making it much more uncomfortable to hold. ​We don't even need to mention moving back to Exynos from the S25's Snapdragon 8 Elite. When I compared them side-by-side, I noticed that even the display has been downgraded. It is dimmer than the S25 at full brightness, even though it doesn't even feature a privacy display. It’s likely the worst 'upgrade' we’ve seen from Samsung in years.",overall,Subjective,overall,overall,negative,0.8431,N/A,,N/A,,N/A,,,negative,0.8431,negative,0.8431,negative,0.8431
I'm more than happy with my s23 plus... I was tempted by the s26 as Samsung had to quiet a good trade-in and double storage offer but I'm really not bothered about all the AI crap,overall,Subjective,overall,overall,positive,0.9016,N/A,,N/A,,N/A,,,positive,0.9016,positive,0.9016,positive,0.9016
"I mean now what's the difference between s26 and 25... No change for customer. Why not choose chinese one plus, bigger battery, faster charging, better processor, bigger battery... Samsung and apple are just surviving because of protectionism and myopic loyal fan base stuck to ecosystem 😂😂😂",overall,Subjective,overall,overall,neutral,0.4552,N/A,,N/A,,N/A,,,neutral,0.4552,neutral,0.4552,neutral,0.4552
I have a Samsung Galaxy S25 looking at the new base S26 the only upgrade I see is the extra 300mAh in battery size. Which I can easily live without. I don't do mobile gaming or anything intensive so my smaller 4000mAh lasts me quite a while. Unless you are shooting fot fhe Ultras I see no point in upgrading at all.,overall,Subjective,overall,overall,neutral,0.575,N/A,,N/A,,N/A,,,neutral,0.575,neutral,0.575,neutral,0.575
"Same. S21 base model for me, I really want a S26 Ultra but I live in Korea so the phone market is pretty much fixed in Samsung's favor. Even previous models don't really get cheaper when new ones come out 😭 Gotta buy a used one directly from someone and hope they didn't abuse the battery too much if you want to buy an older one for a decent price",overall,Subjective,overall,overall,neutral,0.3961,N/A,,N/A,,N/A,,,neutral,0.3961,neutral,0.3961,neutral,0.3961
the regular S26 and + are the same phone as the last 3 years. not even close to worth the money. The ultra went back to aluminum because apple did. samsung just copies anything and everything apple does. buy a Pixel 10 pro and ignore these devices,overall,Subjective,overall,overall,negative,0.766,N/A,,N/A,,N/A,,,negative,0.766,negative,0.766,negative,0.766
