text,aspect,label
I charge it at night and skip taking the cord with me because of the good battery life.,charging,1
I charge it at night and skip taking the cord with me because of the good battery life.,battery,2
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",camera,2
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",software,2
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",software,2
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",software,2
Easy to start up and does not overheat as much as other laptops.,performance,2
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",camera,2
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",software,0
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",display,0
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",display,1
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",storage,0
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,1
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",design,2
I love the way the entire suite of software works together.,software,2
The speed is incredible and I am more than satisfied.,performance,2
This laptop meets every expectation and Windows 7 is great!,software,2
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,1
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,0
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",display,1
The machine is slow to boot up and occasionally crashes completely.,performance,0
I love the operating system and the preloaded software.,software,2
I love the operating system and the preloaded software.,software,2
The best thing about this laptop is the price along with some of the newer features.,price,2
Also kinda loud when the fan was running.,battery,0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,storage,0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,software,0
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,software,1
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,software,2
Drivers updated ok but the BIOS update froze the system up and the computer shut down.,software,0
The keyboard is too slick.,design,0
It's just as fast with one program open as it is with sixteen open.,software,1
Amazing Quality!,camera,2
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,camera,1
The fact that you can spend over $100 on just a webcam underscores the value of this machine.,price,2
"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",charging,1
"A month or so ago, the freaking motherboard just died.",performance,0
"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",software,0
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charging,0
Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,performance,0
It rarely works and when it does it's incredibly slow.,software,0
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,software,2
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",software,2
"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",battery,2
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,storage,1
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performance,2
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performance,2
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,software,0
"Then, within 5 months, the charger crapped out on me.",charging,0
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,performance,2
I love the glass touchpad.,design,2
  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,storage,0
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery,0
"Then HP sends it back to me with the hardware screwed up, not able to connect.",performance,0
"Oh yeah, don't forget the expensive shipping to and from HP.",price,0
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",software,2
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",software,0
"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",software,2
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",software,0
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,software,2
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery,2
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery,2
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",camera,1
"Acer has set me up with FREE recovery discs, when they are available since I asked.",storage,2
I eventually did the migration from my iMac backup disc which uses USB.,charging,1
"The battery life seems to be very good, and have had no issues with it.",battery,2
Enabling the battery timer is useless.,battery,0
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,battery,1
